id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
839980,1050269,9475,9475,9475, 60 months,0.1299,215.54,C,C1,Walgreens,10+ years,RENT,35000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839980,  Borrower added on 08/05/11 > i have worked at my job for 29 yrs.<br/>,debt_consolidation,credit,422xx,KY,11.28,0,1983-12,720,724,1,,100,9,1,10099,0.468,31,false,0.00,0.00,12579.4299925428,12579.43,9475.00,3104.43,0.0,0.0,0.0,2015-02,3775.89,,2015-03,764,760,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,,,,
839996,1050287,5350,5350,5300, 36 months,0.0999,172.61,B,B1,,10+ years,MORTGAGE,58000,Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839996,,debt_consolidation,Debt Consolidation Loan,801xx,CO,19.07,1,1988-05,725,729,2,20,,8,0,25860,0.507,30,false,0.00,0.00,6213.7233273458,6155.65,5350.00,863.72,0.0,0.0,0.0,2014-08,193.26,,2016-07,734,730,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839976,1050264,20050,20050,19800, 60 months,0.1749,503.6,D,D5,All-State Ford Truck Sales,10+ years,MORTGAGE,85000,Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839976,,debt_consolidation,LendingClub Loan,402xx,KY,16.48,0,1993-08,690,694,0,103,,12,0,20998,0.775,18,false,0.00,0.00,30215.236415036798,29838.49,20050.00,10165.24,0.0,0.0,0.0,2016-08,502.83,,2016-08,729,725,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
837638,1047678,12000,12000,12000, 36 months,0.1299,404.27,C,C1,Heritage Pest Elimination,3 years,RENT,51000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=837638,"  Borrower added on 08/04/11 > This loan will be used consolidate my existing debt in to one easy monthly payment. I plan on purchasing my first home in the next 3 years and my goal is to be debt free at that time. My credit is extremely important to me and I monitor it monthly.<br/> Borrower added on 08/05/11 > all of my bills are paid on time every month. The monthly payment from this loan will be cheaper than the minimum payments I am making now, and I will have all my accounts paid off in 3 years!<br/>",debt_consolidation,Debt Consolidation Loan,321xx,FL,10.35,1,1997-12,690,694,1,14,,16,0,11980,0.523,29,false,0.00,0.00,13703.4974783917,13703.50,12000.00,1703.50,0.0,0.0,0.0,2012-12,7644.8,,2014-11,654,650,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839801,1050045,6000,6000,5750, 36 months,0.0749,186.61,A,A4,ACM,10+ years,RENT,41124,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839801,  Borrower added on 08/04/11 > Once I've received my funds I will contact my creditors and see what one time payment offer they give me to pay off each card. I am always on time with my payments and can make more than the minimum payment. My monthly budget allows for me to pay extra than the minimum. I have been at my current job for 10yrs now and see my self here for many more to come.<br/>,debt_consolidation,Debt Consolidation Loan,112xx,NY,16.95,0,1998-05,720,724,0,,,10,0,9793,0.653,24,false,0.00,0.00,6527.5443610447,6255.56,6000.00,527.54,0.0,0.0,0.0,2013-02,3369.7,,2016-09,684,680,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
1057773,1289138,5500,5500,5500, 36 months,0.1427,188.7,C,C2,kansas state university,5 years,RENT,24000,Not Verified,2011-12,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=1057773,"  Borrower added on 12/05/11 > This is to payoff some of the cards which I have for the last 5 years, the APR is 22 %. I am graduating this May 2012, so will be paying off sooner, I hope in an year.<br>",credit_card,Credit Card Loan,665xx,KS,22.8,0,2007-03,680,684,1,,,7,0,9519,0.865,19,false,0.00,0.00,6438.397322760299,6438.40,5500.00,938.40,0.0,0.0,0.0,2013-06,3236.59,,2013-07,734,730,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839804,1050049,4800,4800,4800, 36 months,0.1149,158.27,B,B4,A. J. G.,10+ years,MORTGAGE,60000,Not Verified,2011-08,Charged Off,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839804,"  Borrower added on 08/06/11 > I would like to use the funds to pay off a couple of credit cards.  I feel I am a good candidate for the loan as I do pay my bills on time, but I would like to get a better interest rate than what the credit card companies have.<br/>",credit_card,consolidation,553xx,MN,21.64,0,1976-12,690,694,3,,,9,0,7961,0.412,32,false,0.00,0.00,4845.96,4845.96,111.85,45.77,0.0,4688.34,0.0,2011-10,158.27,,2016-09,574,570,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839927,1050202,3200,3200,3200, 60 months,0.1749,80.38,D,D5,desert rose casino,3 years,RENT,31308,Source Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839927,,debt_consolidation,catch up,961xx,CA,7.9,0,2005-08,670,674,0,,,9,0,5382,0.619,17,false,0.00,0.00,4822.2097405826,4822.21,3200.00,1622.21,0.0,0.0,0.0,2016-08,79.78,,2016-09,624,620,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
836303,1046323,4000,4000,4000, 36 months,0.1099,130.94,B,B3,Ritz-Carlton,9 years,RENT,42000,Source Verified,2011-08,Charged Off,false,https://lendingclub.com/browse/loanDetail.action?loan_id=836303,,moving,Contentment,950xx,CA,0.89,0,1997-01,700,704,0,26,,4,0,756,0.27,7,false,0.00,0.00,3347.72,3347.72,2502.78,620.10,0.0,224.84,8.5956,2013-08,130.94,,2016-09,529,525,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839935,1050212,30000,30000,29975, 60 months,0.1199,667.19,B,B5,Kantor Taylor Nelson Boyd & Evatt PC,1 year,MORTGAGE,162500,Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839935,"  Borrower added on 08/04/11 > This Loan is intended to consolidate and refinance outstanding credit card debt.  Most of this debt relates to medical expenses and other out of budget expenditures. <br/><br/>I am current on all outstanding obligations with no late payments or other public records. <br/><br/>I have been employed without interruption since 1996 and my bcurrent job is very stable.  Health insurance in my current job is signifcantly better than in my prior job, and covers a greater proportion of our medical expenditures, reducing our &quot;out of budget&quot; medical expenses.  This Loan will allow us to shave approximately $300 per month from our monthly budget.  My intent with this savings is to cut back on credit card expenditures, and establish a reserve to be used to cover other unexpected expenses while repaying this loan.  The goal is to be debt free (other than mortgage and student loan) by the maturity date of this Loan.<br/> Borrower added on 08/08/11 > This loan is intended to refinance existing credit card debt.  Most of this credit card relates to medical expenses and other &quot;out of budget&quot; expenses.<br/><br/>I am and have been current on all outstanding debts with no late payments or public records.  My current job is very stable.  My current job also has much better medical insurance, which covers a greater portion of our medical expenses.  Because we are now spending less out of pocket on medical expenses, I believe this loan should allow me to bring our overall debt load down.  My goal is to use any addtional available cash to prepay this loan and be debt free (other than mortgage and student loan), with 36-48 months.<br/>",debt_consolidation,Consolidation Loan,972xx,OR,6.85,0,1987-07,750,754,0,,,6,0,22595,0.628,22,false,0.00,0.00,40030.733778469505,39997.37,30000.00,10030.73,0.0,0.0,0.0,2016-08,666.52,,2016-09,794,790,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839948,1050230,1300,1300,1300, 36 months,0.1059,42.31,B,B2,,4 years,RENT,89000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839948,,credit_card,Online loan,902xx,CA,5.18,0,2004-03,700,704,0,69,,4,0,3598,0.692,9,false,0.00,0.00,1311.77,1311.77,1300.00,11.77,0.0,0.0,0.0,2011-09,1311.81,,2015-10,809,805,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839903,1050169,5550,5550,5550, 36 months,0.0999,179.06,B,B1,NYC Department of Education,2 years,OWN,38400,Source Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839903,,credit_card,Credit Card Re-Financing Loan,104xx,NY,10,0,1995-03,725,729,1,,,5,0,12130,0.539,12,false,0.00,0.00,6446.0277013794,6446.03,5550.00,896.03,0.0,0.0,0.0,2014-08,201.58,,2016-09,754,750,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839882,1050148,15000,15000,14750, 60 months,0.1349,345.08,C,C2,Babylon Central Fire & Rescue Alarm,10+ years,RENT,105000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839882,"  Borrower added on 08/03/11 > this loan will be used to consolidate all the high interest credit cards into one lower interest monthly payment. These credit cards will then be closed out. I have improved my credit scores over the past 6 years from the 500's to the 700's,  I have been employed at my job for 31 years.My credit report will show i have no late payments. thank you<br/>null",debt_consolidation,Debt consolidation,117xx,NY,17.03,0,1997-03,705,709,0,,,18,0,24118,0.674,29,false,0.00,0.00,19779.0400138618,19449.39,15000.00,4779.04,0.0,0.0,0.0,2014-09,7371.21,,2016-09,669,665,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
833996,1043738,13000,13000,13000, 36 months,0.1059,423.09,B,B2,LOS ANGLELES POLICE DEPT,10+ years,MORTGAGE,90000,Source Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=833996,  Borrower added on 08/15/11 > CURRENT MORTGAGE IS $2140 WITH TAX AND INSURANCE... NO CAR LOAN... NO LINE OF CREDIT..<br/>null,debt_consolidation,MYSTIC LOAN,906xx,CA,6.67,0,1994-12,725,729,1,,,19,0,12719,0.292,28,false,0.00,0.00,15230.9731409284,15230.97,13000.00,2230.97,0.0,0.0,0.0,2014-08,448.98,,2014-08,779,775,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839774,1050016,6000,6000,6000, 36 months,0.0849,189.38,A,A5,brighton best,< 1 year,RENT,35000,Not Verified,2011-08,Charged Off,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839774,  Borrower added on 08/07/11 > Looking for a lower interest loan to pay off my credit card<br/>,debt_consolidation,Credit card consolitdation,080xx,NJ,10.25,0,2005-05,725,729,1,,,8,0,4575,0.131,12,false,0.00,0.00,5685.450000000103,5685.45,4683.49,784.68,14.97273382037,202.31,1.7842999978,2014-01,568.14,,2016-09,649,645,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839818,1050063,30000,30000,29725, 36 months,0.1799,1084.43,E,E1,Bloomington Public Schools,6 years,RENT,79000,Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839818,,credit_card,CC Payoff,554xx,MN,20.79,0,1998-06,685,689,0,,,9,0,27079,0.934,21,false,0.00,0.00,32568.5914628787,32270.05,30000.00,2568.59,0.0,0.0,0.0,2012-03,1073.6,,2012-03,744,740,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
1057343,1288906,4800,4800,4800, 36 months,0.1465,165.58,C,C3,Sabic Polymershapes,< 1 year,RENT,44600,Source Verified,2011-12,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=1057343,,credit_card,Sick of high interest rates!,920xx,CA,15.28,0,2001-04,675,679,1,73,,12,0,7954,0.925,25,false,0.00,0.00,5890.6487889193,5890.65,4800.00,1090.65,0.0,0.0,0.0,2014-04,1423.33,,2015-10,669,665,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839778,1050022,16000,16000,16000, 60 months,0.1299,363.97,C,C1,Holly Hill Hospital,4 years,MORTGAGE,50000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839778,,medical,medical expense,276xx,NC,14.3,0,1999-04,750,754,1,,,12,0,63,0.006,33,false,0.00,0.00,21706.470000003603,21706.47,16000.00,5706.47,0.0,0.0,0.0,2015-07,4787.09,,2015-07,724,720,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839805,1050050,17625,17625,17325, 36 months,0.0749,548.17,A,A4,"LeadFormix, Inc",4 years,MORTGAGE,120000,Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839805,"  Borrower added on 08/03/11 > I need this to support my family in India. I have a  home equity of over $850,000 and have always paid my mortgage in time. Have met all my obligations  and have built up an excellent credit 877-Experian. Your money is completely safe as I have enough resources to pay for this loan and I am a strong believer in Law of Karma.<br/> Greatly appreciate this help.<br/> Borrower added on 08/04/11 > Folks- I need this money by 10th of August. Hope you can make your contributions ASAP. Thank you very much.<br/> Borrower added on 08/04/11 > Folks- I need this money by 10th of August. Hope you can make your contributions ASAP. Thank you very much.<br/>",other,Family Support Loan,950xx,CA,0.84,0,1996-02,810,814,0,,,9,0,2091,0.04,33,false,0.00,0.00,17842.6110671874,17538.91,17625.00,217.61,0.0,0.0,0.0,2011-10,17295.36,,2015-12,714,710,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
839791,1050035,5000,5000,5000, 36 months,0.1299,168.45,C,C1,"ACS, a Xerox Company",1 year,MORTGAGE,78000,Not Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=839791,  Borrower added on 08/03/11 > Paying off higher interest store based credit cards at a lower rate.<br/>null,credit_card,Credit Card Payoff,786xx,TX,18.71,0,1996-12,685,689,1,,,14,0,18802,0.764,28,false,0.00,0.00,6064.010966304,6064.01,5000.00,1064.01,0.0,0.0,0.0,2014-08,177.82,,2016-09,699,695,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
834329,1044162,35000,35000,35000, 36 months,0.1599,1230.33,D,D2,Prince Georges County Police Department,10+ years,MORTGAGE,140000,Verified,2011-08,Fully Paid,false,https://lendingclub.com/browse/loanDetail.action?loan_id=834329,,debt_consolidation,consolidation loan,206xx,MD,18.7,0,1997-08,710,714,1,,,8,0,19971,0.908,22,false,0.00,0.00,40862.497269812506,40862.50,35000.00,5862.50,0.0,0.0,0.0,2012-11,23659.17,,2016-09,719,715,false,,true,INDIVIDUAL,,,,false,,,,,,,,,,,,,,,,,,,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,,,,
